year_month,year,month,carrier,carrier_name,airport_code,city,state,airport_full_name,airport_name_cleansed,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2015-02-01,2015,2,AS,Alaska Airlines Inc.,SFO,San Francisco,CA,"San Francisco, CA: San Francisco International",San Francisco International,419.0,94.0,13.73,0.76,61.65,1.0,16.86,2.0,4.0,6841.0,719.0,116.0,4518.0,23.0,1465.0
2015-02-01,2015,2,AS,Alaska Airlines Inc.,LAX,Los Angeles,CA,"Los Angeles, CA: Los Angeles International",Los Angeles International,557.0,95.0,29.82,4.34,46.48,0.0,14.36,0.0,0.0,4512.0,1885.0,306.0,1720.0,0.0,601.0
2015-02-01,2015,2,AS,Alaska Airlines Inc.,DFW,Dallas/Fort Worth,TX,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",Dallas/Fort Worth International,96.0,11.0,6.36,0.25,3.79,0.61,0.0,0.0,0.0,289.0,171.0,8.0,87.0,23.0,0.0
2015-02-01,2015,2,AS,Alaska Airlines Inc.,ORD,Chicago,IL,"Chicago, IL: Chicago O'Hare International",Chicago O'Hare International,84.0,12.0,1.29,0.0,10.21,0.0,0.5,1.0,0.0,851.0,38.0,0.0,787.0,0.0,26.0
2015-02-01,2015,2,AS,Alaska Airlines Inc.,DEN,Denver,CO,"Denver, CO: Denver International",Denver International,112.0,10.0,3.1,0.0,4.27,0.0,2.63,0.0,0.0,457.0,153.0,0.0,223.0,0.0,81.0
2015-02-01,2015,2,AS,Alaska Airlines Inc.,ATL,Atlanta,GA,"Atlanta, GA: Hartsfield-Jackson Atlanta International",Hartsfield-Jackson Atlanta International,28.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,19.0
2015-02-01,2015,2,AS,Alaska Airlines Inc.,MCO,Orlando,FL,"Orlando, FL: Orlando International",Orlando International,56.0,4.0,2.72,0.0,1.28,0.0,0.0,0.0,0.0,133.0,94.0,0.0,39.0,0.0,0.0
2015-02-01,2015,2,AS,Alaska Airlines Inc.,EWR,Newark,NJ,"Newark, NJ: Newark Liberty International",Newark Liberty International,52.0,9.0,3.9,1.0,2.1,0.0,2.0,2.0,0.0,495.0,223.0,21.0,145.0,0.0,106.0
2015-02-01,2015,2,B6,JetBlue Airways,MCO,Orlando,FL,"Orlando, FL: Orlando International",Orlando International,1471.0,519.0,157.98,15.62,185.14,1.4,158.86,67.0,0.0,33280.0,11492.0,1309.0,7813.0,43.0,12623.0
2015-02-01,2015,2,B6,JetBlue Airways,LGA,New York,NY,"New York, NY: LaGuardia",LaGuardia,532.0,239.0,56.16,0.36,112.62,0.93,68.94,25.0,6.0,14896.0,3537.0,21.0,6263.0,142.0,4933.0
2015-02-01,2015,2,B6,JetBlue Airways,EWR,Newark,NJ,"Newark, NJ: Newark Liberty International",Newark Liberty International,550.0,191.0,65.74,2.72,52.25,1.44,68.85,32.0,0.0,11788.0,3358.0,385.0,3002.0,60.0,4983.0
2015-02-01,2015,2,B6,JetBlue Airways,SFO,San Francisco,CA,"San Francisco, CA: San Francisco International",San Francisco International,394.0,107.0,28.0,7.25,47.49,0.0,24.26,8.0,10.0,7038.0,1845.0,564.0,2668.0,0.0,1961.0
2015-02-01,2015,2,B6,JetBlue Airways,DEN,Denver,CO,"Denver, CO: Denver International",Denver International,76.0,34.0,8.74,2.28,13.59,0.0,9.4,4.0,0.0,2195.0,464.0,328.0,554.0,0.0,849.0
2015-02-01,2015,2,B6,JetBlue Airways,LAX,Los Angeles,CA,"Los Angeles, CA: Los Angeles International",Los Angeles International,320.0,99.0,29.12,8.37,50.66,0.19,10.66,10.0,4.0,5332.0,1630.0,772.0,2176.0,7.0,747.0
2015-02-01,2015,2,B6,JetBlue Airways,ORD,Chicago,IL,"Chicago, IL: Chicago O'Hare International",Chicago O'Hare International,149.0,54.0,16.63,1.38,17.84,0.0,18.15,15.0,0.0,3425.0,835.0,186.0,1010.0,0.0,1394.0
2015-02-01,2015,2,B6,JetBlue Airways,CLT,Charlotte,NC,"Charlotte, NC: Charlotte Douglas International",Charlotte Douglas International,108.0,32.0,12.52,1.48,10.54,0.0,7.45,13.0,0.0,1979.0,876.0,206.0,386.0,0.0,511.0
2015-02-01,2015,2,B6,JetBlue Airways,DFW,Dallas/Fort Worth,TX,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",Dallas/Fort Worth International,50.0,12.0,4.42,1.35,4.49,0.0,1.74,8.0,1.0,752.0,301.0,86.0,250.0,0.0,115.0
2015-02-01,2015,2,DL,Delta Air Lines Inc.,ATL,Atlanta,GA,"Atlanta, GA: Hartsfield-Jackson Atlanta International",Hartsfield-Jackson Atlanta International,17430.0,2708.0,753.07,240.79,805.85,0.0,908.3,517.0,8.0,198732.0,70427.0,31960.0,40553.0,0.0,55792.0
2015-02-01,2015,2,DL,Delta Air Lines Inc.,LAX,Los Angeles,CA,"Los Angeles, CA: Los Angeles International",Los Angeles International,1633.0,298.0,102.75,40.75,101.74,1.0,51.77,17.0,6.0,16515.0,6755.0,2969.0,3471.0,23.0,3297.0
2015-02-01,2015,2,DL,Delta Air Lines Inc.,DEN,Denver,CO,"Denver, CO: Denver International",Denver International,520.0,112.0,42.47,7.47,36.84,0.0,25.22,11.0,0.0,5819.0,2123.0,915.0,1544.0,0.0,1237.0
2015-02-01,2015,2,DL,Delta Air Lines Inc.,SFO,San Francisco,CA,"San Francisco, CA: San Francisco International",San Francisco International,556.0,133.0,34.3,18.52,68.07,0.0,12.11,8.0,1.0,8987.0,2204.0,1499.0,4700.0,0.0,584.0
2015-02-01,2015,2,DL,Delta Air Lines Inc.,LGA,New York,NY,"New York, NY: LaGuardia",LaGuardia,2160.0,863.0,155.34,31.92,422.47,0.0,253.27,177.0,21.0,60002.0,11625.0,5003.0,22681.0,0.0,20693.0
2015-02-01,2015,2,DL,Delta Air Lines Inc.,MCO,Orlando,FL,"Orlando, FL: Orlando International",Orlando International,1287.0,270.0,88.94,23.78,91.97,0.0,65.31,32.0,3.0,15210.0,5385.0,2107.0,3744.0,0.0,3974.0
2015-02-01,2015,2,DL,Delta Air Lines Inc.,ORD,Chicago,IL,"Chicago, IL: Chicago O'Hare International",Chicago O'Hare International,522.0,124.0,27.34,14.62,69.5,0.0,12.54,8.0,2.0,7385.0,1767.0,941.0,4129.0,0.0,548.0
2015-02-01,2015,2,DL,Delta Air Lines Inc.,CLT,Charlotte,NC,"Charlotte, NC: Charlotte Douglas International",Charlotte Douglas International,473.0,97.0,37.68,5.83,28.5,0.0,25.0,8.0,0.0,5513.0,2190.0,585.0,1027.0,0.0,1711.0
2015-02-01,2015,2,DL,Delta Air Lines Inc.,EWR,Newark,NJ,"Newark, NJ: Newark Liberty International",Newark Liberty International,377.0,77.0,25.41,6.83,28.13,0.0,16.63,14.0,1.0,4511.0,1203.0,1065.0,1337.0,0.0,906.0
2015-02-01,2015,2,DL,Delta Air Lines Inc.,DFW,Dallas/Fort Worth,TX,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",Dallas/Fort Worth International,415.0,66.0,29.69,4.44,14.18,0.0,17.68,7.0,0.0,3576.0,1559.0,224.0,702.0,0.0,1091.0
2015-01-01,2015,1,AA,American Airlines Inc.,LAX,Los Angeles,CA,"Los Angeles, CA: Los Angeles International",Los Angeles International,2633.0,445.0,157.17,25.21,107.82,1.36,153.43,41.0,4.0,25261.0,10914.0,1460.0,3293.0,42.0,9552.0
2015-01-01,2015,1,AA,American Airlines Inc.,DFW,Dallas/Fort Worth,TX,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",Dallas/Fort Worth International,12466.0,2463.0,645.29,64.66,765.92,4.14,982.99,203.0,6.0,167313.0,66714.0,5055.0,24137.0,123.0,71284.0
2015-01-01,2015,1,AA,American Airlines Inc.,SFO,San Francisco,CA,"San Francisco, CA: San Francisco International",San Francisco International,876.0,200.0,59.98,10.44,73.98,0.14,55.46,15.0,0.0,11993.0,3108.0,761.0,3394.0,21.0,4709.0
2015-01-01,2015,1,AA,American Airlines Inc.,ATL,Atlanta,GA,"Atlanta, GA: Hartsfield-Jackson Atlanta International",Hartsfield-Jackson Atlanta International,397.0,87.0,42.03,0.12,18.07,0.0,26.78,1.0,1.0,4666.0,2481.0,8.0,625.0,0.0,1552.0
2015-01-01,2015,1,AA,American Airlines Inc.,ORD,Chicago,IL,"Chicago, IL: Chicago O'Hare International",Chicago O'Hare International,3904.0,862.0,208.77,16.39,324.08,1.31,311.44,107.0,2.0,49201.0,13215.0,1272.0,12644.0,46.0,22024.0
2015-01-01,2015,1,AA,American Airlines Inc.,MCO,Orlando,FL,"Orlando, FL: Orlando International",Orlando International,943.0,217.0,80.76,8.86,54.43,0.06,72.89,10.0,3.0,9888.0,3787.0,413.0,1867.0,1.0,3820.0
2015-01-01,2015,1,AA,American Airlines Inc.,DEN,Denver,CO,"Denver, CO: Denver International",Denver International,480.0,126.0,52.57,4.28,32.25,0.48,36.43,0.0,1.0,6185.0,2446.0,389.0,1144.0,10.0,2196.0
2015-01-01,2015,1,AA,American Airlines Inc.,CLT,Charlotte,NC,"Charlotte, NC: Charlotte Douglas International",Charlotte Douglas International,409.0,64.0,27.02,6.53,10.38,0.0,20.07,13.0,1.0,3176.0,1310.0,497.0,332.0,0.0,1037.0
2015-01-01,2015,1,AA,American Airlines Inc.,LGA,New York,NY,"New York, NY: LaGuardia",LaGuardia,1201.0,306.0,79.59,15.15,127.4,0.0,83.86,86.0,14.0,15935.0,3814.0,1026.0,5491.0,0.0,5604.0
2015-01-01,2015,1,AA,American Airlines Inc.,EWR,Newark,NJ,"Newark, NJ: Newark Liberty International",Newark Liberty International,326.0,109.0,25.76,0.92,59.28,0.0,23.05,23.0,0.0,5186.0,1394.0,42.0,2575.0,0.0,1175.0
2015-01-01,2015,1,AS,Alaska Airlines Inc.,LAX,Los Angeles,CA,"Los Angeles, CA: Los Angeles International",Los Angeles International,592.0,85.0,30.22,1.78,32.75,0.0,20.25,1.0,1.0,3712.0,1438.0,342.0,862.0,0.0,1070.0
2015-01-01,2015,1,AS,Alaska Airlines Inc.,EWR,Newark,NJ,"Newark, NJ: Newark Liberty International",Newark Liberty International,58.0,16.0,4.54,0.0,6.69,0.0,4.76,2.0,0.0,582.0,155.0,0.0,237.0,0.0,190.0
